year,country_id,country,region,latitude,longitude,success,suicide,attack_type,target_type,gname,weapon_type,nperps,nkill,nkillus,nkillter,nwound
2014,4,Afghanistan,South Asia,33.678611,68.666667,1,0,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,-99,3,0,0,0
2014,4,Afghanistan,South Asia,34.341973,62.203026,1,0,Assassination,Government (General),Unknown,Firearms,-99,1,0,0,0
2014,4,Afghanistan,South Asia,34.25,70.566667,1,0,Bombing/Explosion,Educational Institution,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,6
2014,214,Ukraine,Eastern Europe,48.8532,37.6053,1,0,Bombing/Explosion,Telecommunication,Donetsk People's Republic,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,95,Iraq,Middle East & North Africa,33.243054,44.324727,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,4,0,0,8
2014,153,Pakistan,South Asia,34.533889,71.27,1,0,Bombing/Explosion,Terrorists/Non-State Militia,Tehrik-i-Taliban Pakistan (TTP),Explosives/Bombs/Dynamite,-99,1,0,0,1
2014,229,Democratic Republic of the Congo,Sub-Saharan Africa,4.378386,28.59799,1,0,Hostage Taking (Kidnapping),Military,Unknown,Firearms,-99,,0,0,
2014,153,Pakistan,South Asia,34.004722,71.569953,1,0,Assassination,Private Citizens & Property,Unknown,Firearms,-99,1,0,0,0
2014,147,Nigeria,Sub-Saharan Africa,7.853304,10.963746,1,0,Armed Assault,Private Citizens & Property,Fulani Militants,Firearms,-99,5,0,0,2
2014,88,Honduras,Central America & Caribbean,14.083379,-87.216864,0,0,Assassination,Government (General),Unknown,Firearms,-99,0,0,0,1
2014,153,Pakistan,South Asia,24.92808,67.064331,1,0,Armed Assault,Business,Unknown,Firearms,-99,1,0,0,0
2014,153,Pakistan,South Asia,33.53,71.06,1,0,Armed Assault,Educational Institution,Unknown,Firearms,-99,2,0,0,0
2014,147,Nigeria,Sub-Saharan Africa,12.046389,14.480833,1,0,Armed Assault,Private Citizens & Property,Boko Haram,Firearms,200,60,0,0,
2014,147,Nigeria,Sub-Saharan Africa,12.046389,14.480833,1,0,Armed Assault,Private Citizens & Property,Boko Haram,Firearms,200,200,0,200,
2014,147,Nigeria,Sub-Saharan Africa,11.929978,14.343351,1,0,Armed Assault,Private Citizens & Property,Boko Haram,Firearms,200,151,0,151,
2014,4,Afghanistan,South Asia,33.93911,67.709953,1,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,4,0,0,0
2014,4,Afghanistan,South Asia,33.93911,67.709953,0,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,209,Turkey,Middle East & North Africa,35.903256,36.060798,1,0,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,33.060556,69.034167,1,0,Unknown,Police,Unknown,Unknown,-99,6,0,6,7
2014,153,Pakistan,South Asia,24.860235,67.008737,1,0,Armed Assault,Violent Political Party,Unknown,Firearms,-99,2,0,0,0
2014,153,Pakistan,South Asia,24.906849,67.107798,1,0,Armed Assault,Business,Unknown,Firearms,2,2,0,0,0
2014,153,Pakistan,South Asia,34.41248,73.231453,1,0,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,60,Egypt,Middle East & North Africa,30.732662,31.719546,1,0,Armed Assault,Police,Unknown,Firearms,-99,2,0,1,0
2014,95,Iraq,Middle East & North Africa,33.366549,43.791443,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0.62
2014,95,Iraq,Middle East & North Africa,33.362422,43.763288,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0.62
